GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4
"DC Tract 33.01, block group 2",0,6,19,17,0,0,0,2.0901906E12,17,6,384,3
"DC Tract 33.01, block group 3",0,6,16,15,0,3,3,1.7601605E12,9,4,262,7
"DC Tract 33.02, block group 1",0,7,25,16,4,1,2,2.7502508E12,19,4,335,6
"DC Tract 33.02, block group 2",0,7,10,7,0,3,3,1.1001003E12,12,5,350,4
"DC Tract 34, block group 1",0,6,18,10,0,3,4,1.9801806E12,14,0,143,1
"DC Tract 34, block group 2",0,29,18,10,2,0,0,1.9801806E12,16,8,386,8
"DC Tract 35, block group 1",0,7,32,10,7,4,4,3.5203211E12,20,17,456,6
"DC Tract 35, block group 2",0,9,11,8,1,1,1,1.2101104E12,3,5,116,3
"DC Tract 36, block group 1",0,3,37,18,4,1,1,4.0703713E12,17,8,541,6
"DC Tract 36, block group 2",0,3,19,10,1,2,3,2.0901907E12,11,9,380,12
"DC Tract 36, block group 3",0,6,16,12,0,0,3,1.7601606E12,19,18,743,9
"DC Tract 37, block group 1",0,4,14,7,4,4,3,1.5401405E12,16,14,538,10
"DC Tract 37, block group 2",0,5,46,20,8,2,2,5.0604617E12,32,30,704,16
"DC Tract 37, block group 3",0,4,34,19,4,6,3,3.7403413E12,15,26,500,14
"DC Tract 38, block group 1",0,4,43,28,6,2,2,4.7304316E12,40,26,1196,37
"DC Tract 38, block group 2",0,8,15,12,1,1,2,1.6501506E12,37,17,956,67
"DC Tract 38, block group 3",0,8,14,9,0,2,2,1.5401405E12,13,25,430,40
"DC Tract 39, block group 1",0,4,11,8,1,1,2,1.2101104E12,14,10,900,28
"DC Tract 39, block group 2",0,12,12,9,0,1,0,1.3201205E12,19,3,750,61
"DC Tract 39, block group 3",0,5,17,14,1,2,2,1.8701707E12,20,18,705,46
"DC Tract 39, block group 4",0,3,14,8,1,0,0,1.5401405E12,39,17,609,46
"DC Tract 40.01, block group 1",0,5,16,12,0,0,1,1.7601606E12,43,40,1139,81
"DC Tract 40.01, block group 2",0,5,10,9,0,1,1,1.1001004E12,8,10,433,122
"DC Tract 40.01, block group 3",0,11,14,13,0,1,1,1.5401406E12,48,54,1126,133
"DC Tract 40.02, block group 1",0,2,4,4,0,0,1,440040160084,18,8,490,29
"DC Tract 40.02, block group 2",0,4,14,10,0,1,2,1.5401406E12,23,19,1125,74
"DC Tract 40.02, block group 3",0,3,6,4,0,2,0,660060240138,18,11,376,41
"DC Tract 41, block group 1",0,5,11,8,0,1,1,1.2101105E12,27,28,784,188
"DC Tract 41, block group 2",0,16,6,6,0,2,1,660060246012,17,35,418,103
"DC Tract 41, block group 3",0,32,15,10,1,0,0,1.6501506E12,20,35,466,140
"DC Tract 42.01, block group 1",0,7,13,7,1,0,1,1.4301305E12,20,8,1059,33
